GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
transaction-service-app,com.yape.app.transaction.builder,TransactionBuilder,50,0,0,0,17,0,3,0,3,0
transaction-service-app,com.yape.app.transaction.config,JsonConverterMessageConfig,7,0,0,0,2,0,2,0,2,0
transaction-service-app,com.yape.app.transaction.config,KafkaConfigMain,139,0,0,0,31,0,5,0,5,0
transaction-service-app,com.yape.app.transaction,ServiceTransactionApplicationMain,49,0,0,0,13,0,3,0,3,0
transaction-service-app,com.yape.app.transaction.model.entity,Transaction,77,3,0,0,10,1,16,1,16,1
transaction-service-app,com.yape.app.transaction.model.entity,Transaction.TransactionBuilder,72,0,0,0,1,0,10,0,10,0
transaction-service-app,com.yape.app.transaction.controller,TransactionController,10,11,0,0,3,2,1,2,1,2
transaction-service-app,com.yape.app.transaction.controller,GraphQLTransactionController,31,0,0,0,10,0,4,0,4,0
transaction-service-app,com.yape.app.transaction.service.impl,ProducerKafkaServiceImpl,14,0,0,0,3,0,2,0,2,0
transaction-service-app,com.yape.app.transaction.service.impl,ConsumerKafkaServiceImpl,16,0,0,0,5,0,2,0,2,0
transaction-service-app,com.yape.app.transaction.service.impl,TransactionServiceImpl,89,0,0,0,21,0,7,0,7,0
transaction-service-app,com.yape.app.transaction.model.request,TransactionRequest,32,15,0,0,6,1,9,1,9,1
transaction-service-app,com.yape.app.transaction.model.request,TransactionRequest.TransactionRequestBuilder,45,0,0,0,1,0,7,0,7,0
transaction-service-app,com.yape.app.transaction.util,Util,9,0,2,0,1,0,2,0,1,0
transaction-service-app,com.yape.app.transaction.model.response,TransactionResponse,57,0,0,0,7,0,12,0,12,0
transaction-service-app,com.yape.app.transaction.model.response,NameValue.NameValueBuilder,18,0,0,0,1,0,4,0,4,0
transaction-service-app,com.yape.app.transaction.model.response,NameValue,17,0,0,0,3,0,4,0,4,0
transaction-service-app,com.yape.app.transaction.model.response,TransactionResponse.TransactionResponseBuilder,54,0,0,0,1,0,8,0,8,0
